[ 00:40:33.740262 ] INFO   10467 async_log.c:335 create async_log thread successfully
[ 00:40:33.746663 ] INFO   10467 thread_manage.c:27 enter worker_init...
[ 00:41:11.505346 ] INFO   10481 thread_manage.c:14 ready to enter the loop...
[ 00:45:04.884519 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53089, conn_fd:9
[ 00:45:04.984189 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53090, conn_fd:9
[ 00:45:04.995210 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53091, conn_fd:9
[ 00:45:04.996043 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53092, conn_fd:9
[ 00:45:04.996767 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53093, conn_fd:9
[ 00:45:04.997356 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53094, conn_fd:9
[ 00:45:04.998031 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53095, conn_fd:9
[ 00:45:04.998917 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53096, conn_fd:9
[ 00:45:09.657475 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53097, conn_fd:9
[ 00:45:09.698210 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53098, conn_fd:9
[ 00:45:09.702407 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53099, conn_fd:9
[ 00:45:09.703081 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53100, conn_fd:9
[ 00:45:09.703721 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53101, conn_fd:9
[ 00:45:09.704291 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53102, conn_fd:9
[ 00:45:12.938256 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53103, conn_fd:9
[ 00:45:12.987945 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53104, conn_fd:9
[ 00:45:12.993871 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53105, conn_fd:9
